time_start,client1,client2,time_end
2801823,9,42,2801823.5
2854508,9,14,2854516.0
2855771,9,14,2857041.0
2859572,9,14,2859572.5
2860840,9,14,2860840.5
2862522,9,24,2865063.0
2866711,9,0,2868433.0
2868107,12,9,2868107.5
2868113,12,0,2868500.0
2869646,12,9,2871563.0
2872830,12,24,2872830.5
2874053,12,16,2874053.5
2874085,12,24,2874085.5
2876326,12,16,2876326.5
2876360,12,24,2876360.5
2879838,9,16,2879838.5
2879933,12,16,2879933.5
2980176,15,3,2981506.0
2986407,15,3,2986741.0
